date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071634;494876;ROLLING-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071634;552552;GS-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071635;109770;GS-LINE;0;DU Spacer Emc2 38K-335;;
(blank);WO071635;494883;ROLLING-LINE;0;DU Spacer Emc2 38K-335;;
(blank);WO071636;494876;ROLLING-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071636;592763;GS-LINE;0;DU Spacer Emc2 38-335;;
(blank);WO071638;494944;ROLLING-LINE;0;DU Spacer Emc2 42K-335;;
(blank);WO071638;500492;GS-LINE;0;DU Spacer Emc2 42K-335;;
(blank);WO071643;318004;B-LINE;0;WB 5.50Ax8 H2 3/62/100 Ø11.5 C60 ET0 Grey RAL9007;1007406;STIGA S.p.A. spare-parts 
(blank);WO071644;318004;B-LINE;0;WB 5.50Ax8 H2 3/62/100 Ø11.5 C60 ET0 Grey RAL9007;1007406;STIGA S.p.A. spare-parts 
(blank);WO071650;542195;A-LINE;0;WI EK 2.50Ax8 25x63,5/71,5;1000103;KENDA GB Rugeley Ltd
(blank);WO071651;657165;E-LINE;0;WB 7.0ATx8 H2 4/60/100 Ø14.5 C60 ET0;1000103;KENDA GB Rugeley Ltd
(blank);WO071652;348438;A-LINE;0;WI GO 2.10Ax4 30x70;1000105;KENDA France SAS
(blank);WO071653;112947;F-LINE;0;WB W13x20 H2 8/226/275 Ø24 ET10;1000100;KENDA Europe A/S
(blank);WO071654;702636;ROLLING-LINE;0;DU Spacer Emc2 42-335,0 V68;;
(blank);WO071654;721552;GS-LINE;0;DU Spacer Emc2 42-335,0 V68;;
(blank);WO071668;139623;E-LINE;0;WB 10.50Ix12 H2 5/94/140 Ø18.5 R14 ET0;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071678;521022;F-LINE;0;WB AG13.00x15.5 H2 6/161/205 Ø21.5 R16 ET-15;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071681;541747;C-LINE;0;WI EK 4.50Ax6 H 25x90/98;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071684;723310;F-LINE;0;WB 16.00x17 H2 8/221/275 Ø27 R18 ET0;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071685;723310;F-LINE;0;WB 16.00x17 H2 8/221/275 Ø27 R18 ET0;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071686;723310;F-LINE;0;WB 16.00x17 H2 8/221/275 Ø27 R18 ET0;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071687;723310;F-LINE;33;WB 16.00x17 H2 8/221/275 Ø27 R18 ET0;1000108;KENDA Polska Sp. z.o.o.
(blank);WO071690;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071690;584898;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071691;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071691;584669;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071694;584256;ROLLING-LINE;0;DU Spacer Standard 42-170,0;;
(blank);WO071694;622255;GS-LINE;0;DU Spacer Standard 42-170,0;;
(blank);WO071695;559117;GS-STEP SPACER;0;DU Spacer Stepped 40/34K-300;;
(blank);WO071695;737652;GS-LINE;0;DU Spacer Stepped 40/34K-300;;
(blank);WO071697;622798;F-LINE;0;WB W9x18 H2 6/110/150 Ø17.5 ET-5;1000106;KENDA Deutschland GmbH
(blank);WO071700;686899;G-LINE;0;WB 9.75x16.5 H2 10/95/140 Ø16.5 ET-1;1000106;KENDA Deutschland GmbH
(blank);WO071704;293219;E-LINE;0;WB 8.50Ix12 H2 5/80/115 Ø18.5 R14 ET-95;1000106;KENDA Deutschland GmbH
(blank);WO071705;143873;G-LINE;0;WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0 VG2 Silver;1000106;KENDA Deutschland GmbH
(blank);WO071706;565217;GS-STEP SPACER;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071706;631981;GS-LINE;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071707;161297;GS-LINE;0;DU Spacer Standard 32-140,0;;
(blank);WO071707;716770;ROLLING-LINE;0;DU Spacer Standard 32-140,0;;
(blank);WO071708;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071708;721644;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071709;506784;D-LINE;0;RM W8x24;1000404;KENDA Schweiz AG
(blank);WO071709;685960;GS-DUAL;0;RM W8x24;1000404;KENDA Schweiz AG
(blank);WO071710;729039;GS-LINE;0;DU Spacer Stepped 36/28K-200;;
(blank);WO071711;594521;D-LINE;0;RM W8x28;1000404;KENDA Schweiz AG
(blank);WO071711;594750;GS-DUAL;0;RM W8x28;1000404;KENDA Schweiz AG
(blank);WO071714;729916;G-LINE;0;WB 6Jx15 H2 6/161/205 Ø21.5 R16 ET70;1000106;KENDA Deutschland GmbH
(blank);WO071722;559025;GS-STEP SPACER;0;DU Spacer Stepped 38/30K-300;;
(blank);WO071722;583747;GS-LINE;0;DU Spacer Stepped 38/30K-300;;
(blank);WO071724;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071724;654331;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
