MAIN BOM;No.;Description;Quantity per;Link;Draw
104232;633893;WD Formed T-mount 12mm  Ø580,0-Ø560,9mm;1.00;61S2400007_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2400007_BM.pdf
104232;CP2012;POWDER BIANCO LUCIDO (CNH) RAL9378;0.37;;
104256;486253;RM DWW20Bx42;1.00;;
104256;607818;Valve guard VG9;1.00;;
104256;609836;WD Formed T-mount 15mm  Ø980,0-Ø967,3mm;1.00;61S4000014_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S4000014_BM.pdf
104256;CP1088;POWDER GREY MET 9006 RESIST;1.00;;
104263;488554;RM DWW16Lx30;1.00;;
104263;607818;Valve guard VG9;1.00;;
104263;693194;WD Formed T-mount 12mm  Ø680,0-Ø662,5mm;1.00;61S2800067_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2800067_BM.pdf
104263;CP1088;POWDER GREY MET 9006 RESIST;0.60;;
104270;579559;RM W10x46;1.00;;
104270;589459;WD Formed T-mount 12mm  Ø1130,0-Ø1119,7mm;1.00;61S4600001_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S4600001_BM.pdf
104270;607818;Valve guard VG9;1.00;;
104270;CP5001;POWDER JDM F9H YELLOW;0.84;;
104287;542836;WD Formed T-mount 12mm  Ø780,0-Ø764,1mm;1.00;542836_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\542836_BM.pdf
104287;545493;RM W10x32;1.00;;
104287;607818;Valve guard VG9;1.00;;
104294;579573;RM W10x50;1.00;;
104294;648125;DU Spacer Stepped 48/38K-350;1.00;62R480030_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R480030_BM.pdf
104294;CP5001;POWDER JDM F9H YELLOW;1.00;;
104317;104805;RM 5Jx15 H2;1.00;104805_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\104805_BM.pdf
104317;481913;DU Clamp SOK weld-on;2.00;62G10001_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62G10001_BM.pdf
104317;525280;DU Spacer Stepped 15/12-150,0;1.00;62R150006_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R150006_BM.pdf
104317;CP8002;LIQUIDE PAINT RAL9006 SILVER;0.15;;
104317;ST2004;STEEL ROD ROUND fi 12;0.85;;
104317;TU2006;STEEL BAR 50,0x50,0x4000 S355-ST50;0.94;;
104331;62R500053;"50"" GS RING";1.00;;
